Date/Time,Word Count,en,no
2025.04.22-11.37.27,1234,1234,0
2025.04.22-11.46.34,1234,1234,4
2025.04.22-11.50.35,1238,1238,4
2025.04.22-11.52.10,1238,1238,8
2025.04.22-16.46.51,1371,1371,8
2025.04.22-17.09.15,1371,1371,154
2025.04.22-17.14.48,1303,1303,154
2025.04.22-17.28.33,1303,1303,494
2025.04.22-17.54.28,1303,1303,845
2025.04.23-18.48.48,1295,1295,839
2025.04.23-19.07.46,1287,1287,953
2025.04.23-19.22.18,1283,1283,1019
2025.04.23-19.26.18,1276,1276,1068
2025.04.23-20.47.03,1275,1275,1068
2025.04.23-20.55.37,1275,1275,1148
2025.04.23-21.23.15,1272,1272,1268
2025.04.25-15.42.44,1284,1284,1248
2025.04.25-15.47.43,1280,1280,1247
2025.04.25-15.49.45,1280,1280,1276
2025.04.25-15.53.19,1276,1276,1272
2025.04.25-16.55.39,1268,1268,1264
2025.04.25-17.04.17,1282,1282,1264
2025.04.25-17.05.44,1284,1284,1264
2025.04.25-17.16.18,1284,1284,1280
2025.04.25-17.29.35,1285,1285,1278
2025.04.25-17.30.51,1285,1285,1281
2025.04.26-15.40.07,1286,1286,1281
2025.04.26-15.41.13,1286,1286,1282
2025.04.26-16.32.38,1292,1292,1282
2025.04.26-16.33.35,1292,1292,1288
2025.04.26-16.34.36,1292,1292,1282
2025.04.26-16.36.06,1292,1292,1288
2025.04.28-16.37.25,1360,1360,1247
2025.04.28-16.45.20,1359,1359,1346
2025.04.28-16.46.40,1359,1359,1355
2025.04.29-00.15.51,1510,1510,1284
2025.04.29-00.28.05,1494,1494,1465
2025.04.29-00.28.40,1494,1494,1490
2025.04.29-01.36.03,1494,1494,1417
2025.04.29-01.39.07,1494,1494,1490
2025.05.01-17.41.20,1501,1501,1421
2025.05.01-17.46.02,1492,1492,1488
2025.05.01-22.27.22,1492,1492,1445
2025.05.01-22.29.23,1492,1492,1488
2025.05.01-23.03.58,1490,1490,1484
2025.05.01-23.04.35,1490,1490,1486
2025.05.01-23.54.27,1865,1865,1328
2025.05.02-00.03.19,1865,1865,1852
2025.05.02-00.04.28,1865,1865,1861
2025.05.03-19.05.11,2031,2031,1850
2025.05.03-19.21.51,2031,2031,2027
2025.05.08-17.45.27,2049,2049,1981
2025.05.08-17.52.55,2049,2049,2047
2025.05.09-16.17.40,2219,2219,1998
2025.05.09-16.21.53,2219,2219,2217
2025.05.10-18.13.21,2204,2204,1999
2025.05.10-18.16.43,2204,2204,2200
2025.05.11-12.03.39,2202,2202,2198
2025.05.11-12.14.27,2213,2213,2198
2025.05.11-12.21.10,2221,2221,2198
2025.05.11-16.29.30,2228,2228,2175
2025.05.11-16.32.59,2228,2228,2202
2025.05.11-16.33.31,2228,2228,2220
2025.05.12-02.19.33,2228,2228,2165
2025.05.12-02.23.26,2228,2228,2220
2025.05.26-10.24.23,2314,2314,2150
2025.05.26-10.29.38,2338,2338,2122
2025.05.26-10.42.54,2338,2338,2330
2025.07.23-09.10.29,3373,3373,1867
2025.07.30-10.05.19,4549,4549,1855
2025.07.30-10.20.51,4473,4473,1855
2025.07.31-10.23.40,4501,4501,1855
2025.07.31-10.29.47,4489,4489,1855
2025.07.31-10.32.11,4458,4458,1855
2025.07.31-10.42.15,4458,4458,1919
2025.07.31-10.50.02,4458,4458,2005
2025.08.04-13.40.08,4422,4422,1688
2025.08.04-13.58.46,4423,4423,1690
2025.08.04-14.14.50,4440,4440,1690
2025.08.05-09.54.48,4440,4440,2372
2025.08.05-10.52.12,4429,4429,2647
2025.08.05-12.04.17,4429,4429,2785
2025.08.05-13.16.49,4429,4429,3331
2025.08.05-14.02.45,4425,4425,3540
2025.08.05-14.42.04,4425,4425,3757
2025.08.05-14.46.02,4424,4424,3764
2025.08.05-14.53.01,4424,4424,3921
2025.08.05-15.03.33,4424,4424,4053
2025.08.05-15.05.43,4422,4422,4053
2025.08.05-15.08.18,4420,4420,4053
2025.08.05-15.36.24,4420,4420,4294
2025.08.05-15.49.51,4420,4420,4418
2025.08.05-16.20.06,4431,4431,4335
2025.08.05-16.30.22,4431,4431,4431
2025.08.05-16.46.44,4451,4451,4431
2025.08.05-16.49.44,4451,4451,4451
2025.08.07-15.55.23,4721,4721,4228
2025.08.07-16.01.11,4724,4724,4190
2025.08.07-16.05.58,4724,4724,4243
2025.08.08-09.49.31,4755,4755,4239
2025.08.08-09.59.12,4755,4755,4352
2025.08.08-10.32.48,4755,4755,4755
